date,year,month,discrete_2prices,price_real_mon_cattle
2016-01-01,2016,1,44.758760469833035,49.50581141004167
2016-02-01,2016,2,44.758760469833035,49.74668057480596
2016-03-01,2016,3,44.758760469833035,49.829910393986566
2016-04-01,2016,4,44.758760469833035,49.37973535382056
2016-05-01,2016,5,44.758760469833035,47.09704991530393
2016-06-01,2016,6,44.758760469833035,46.54046186203573
2016-07-01,2016,7,44.758760469833035,47.022320222165355
2016-08-01,2016,8,44.758760469833035,46.556076315865155
2016-09-01,2016,9,44.758760469833035,46.746755631509174
2016-10-01,2016,10,44.758760469833035,47.43888312376057
2016-11-01,2016,11,44.758760469833035,47.44509712322117
2016-12-01,2016,12,44.758760469833035,46.703163595301305
2017-01-01,2017,1,44.758760469833035,46.52402552712257
2017-02-01,2017,2,44.758760469833035,45.88039652778275
2017-03-01,2017,3,44.758760469833035,45.30086798285542
2017-04-01,2017,4,44.758760469833035,45.11942966198898
2017-05-01,2017,5,44.758760469833035,44.83260339675737
2017-06-01,2017,6,44.758760469833035,43.18034847071348
2017-07-01,2017,7,44.758760469833035,42.54097003492693
2017-08-01,2017,8,44.758760469833035,42.71957485162208
2017-09-01,2017,9,44.758760469833035,46.91524065424434
2017-10-01,2017,10,44.758760469833035,45.74904603222304
2017-11-01,2017,11,44.758760469833035,45.121017315393104
2017-12-01,2017,12,44.758760469833035,45.02329678176139
